Category,Fact
ajalugu,"1960NDATENI KASUTATI RASEDUSTESTINA AAFRIKA KANNUSKONNA – TEMA KEHASSE SÜSTITI NAISTERAHVA URIINI JA KUI KONNAL 12 TUNNI JOOKSUL OVULATSIOON ALGAS, TÄHENDAS SEE, ET NAINE ON RASE."
ajalugu,"2015.A SUVI ON 1 SEKUNDI VÕRRA PIKEM – 30. JUUNIL VASTU 1. JUULIT LISATAKSE KOORDINEERITUD MAAILMAAJALE 1 LIIGSEKUND, ET KORRIGEERIDA MAA PÖÖRLEMISE AEGLUSTUMISEST TULENEVAT AJANIHET. 1972.A ALATES ON LISATUD 25 LIIGSEKUNDIT."
ajalugu,TÄNASE KUSTUTUSKUMMI EELKÄIJATEKS ON LEIB JA SAI – 18. SAJANDI TEISE POOLENI KASUTATI KIRJUTISTE JA JOONISTUSTE KORRIGEERIMISEKS NIISUTATUD LEIVA- JA SAIAPURU KUULIKESI.
ajalugu,KUULUS VENE POEET A. PUŠKIN PIDAS OMA ELUAJAL 29 DUELLI VIIMASE NEIST PIDAS TA OMA NAISE PÄRAST JA SAI SELLES SURMAVALT HAAVATA
ajalugu,"1960NDATEL KASUTAS CIA VENEMAA SAATKONDADE JA KREMLI SALALUUREKS KASSE, KELLE KEHASSE PAIGUTATI AKUSID, MIKROFONE JA ANTENNE. OPERATSIOONI KOODNIMEKS OLI ACOUSTIC KITTY."
ajalugu,"CECIL CHUBB OLI VIIMANE INIMENE, KELLE OMANDUSSE KUULUS STONEHENGE. MEES OSTIS SELLE 1915.A NING OSTUSUMMAKS OLI TÄNASES KONTEKSTIS UMBES 800 000 DOLLARIT. BBC ANDMETEL KINKIS CHUBB AJALOOMÄLESTISE OMA NAISELE, KES SELLEST AGA ERILISES VAIMUSTUSES EI OLNUD. KOLM AASTAT HILJEM ANNETAS MEES STONHENGE`I INGLISMAALE."
ajalugu,"AUSTRAALIA LINN MELBOURNE ON LÄBI AJALOO KANDNUD MITMEID NIMESID – MUUHULGAS KA BATMANIA, MAADEUURIJA JOHN BATMANI JÄRGI."
ajalugu,NIKE TÄHENDAB VÕITU VANA-KREEKA KEELES.
ajalugu,KESKAJAL ALUSTATI POISSLAPSE RÜÜTLIKS TREENIMIST 7 AASTA VANUSELT.
ajalugu,"VANAS KREEKAS ARVATI, ET PUNAPEAD MUUTUVAD VAMPIIRIDEKS PEALE SURMA."
